Candidate_ID,Job_ID,Education_encoded,Experience,Job_Role_encoded,Skill_Match,Education_Match,Experience_Gap,Suitable
C2080,J255,1,10,0,0.8,0,5,0
C2080,J432,1,10,1,0.6666666666666666,1,4,1
C2080,J311,1,10,3,0.75,0,8,0
C2080,J27,1,10,2,0.6,1,5,1
C2080,J198,1,10,3,0.6666666666666666,1,0,1
C2080,J289,1,10,3,0.5,1,9,0
C2080,J105,1,10,0,0.6666666666666666,0,7,0
C2080,J98,1,10,0,0.6666666666666666,1,7,1
C2080,J43,1,10,2,0.75,0,0,0
C2080,J257,1,10,1,0.8,0,6,0
C2080,J460,1,10,0,0.6,0,4,0
C2080,J400,1,10,1,0.6,1,1,1
C2080,J252,1,10,1,0.6666666666666666,1,7,1
C2080,J462,1,10,2,0.75,1,7,1
C2080,J364,1,10,2,0.5,1,10,0
C2080,J358,1,10,1,0.5,1,8,0
C2080,J19,1,10,2,0.6,0,8,0
C2080,J129,1,10,2,0.6666666666666666,1,10,1
C2080,J342,1,10,1,0.5,1,6,0
C2080,J260,1,10,2,0.6666666666666666,0,9,0
C2080,J117,1,10,2,0.6,1,7,1
C2080,J162,1,10,1,0.6,0,5,0
C2080,J66,1,10,0,0.6666666666666666,1,6,1
C2080,J359,1,10,1,1.0,0,5,0
C2080,J47,1,10,1,0.5,1,2,0
C2080,J77,1,10,3,0.6,1,5,1
C2080,J431,1,10,3,0.3333333333333333,0,6,0
C2080,J122,1,10,3,0.6,0,0,0
C2080,J456,1,10,2,0.4,1,1,0
C2080,J97,1,10,1,1.0,1,5,1
C2080,J237,1,10,3,0.6,1,3,1
C2080,J182,1,10,0,0.6,1,7,1
C2080,J451,1,10,2,0.6,1,3,1
C2080,J146,1,10,3,0.75,1,7,1
C2080,J38,1,10,2,0.4,1,8,0
C2080,J371,1,10,3,0.6,0,4,0
C2080,J15,1,10,1,0.6666666666666666,0,7,0
C2080,J443,1,10,2,0.6,1,0,1
C2080,J364,1,10,2,1.0,1,8,1
C2080,J290,1,10,2,0.6666666666666666,1,10,1
C2080,J225,1,10,2,0.3333333333333333,1,2,0
C2080,J147,1,10,2,0.6666666666666666,0,0,0
C2080,J351,1,10,1,0.75,1,7,1
C2080,J442,1,10,0,0.8,0,6,0
C2080,J389,1,10,3,0.75,1,1,1
C2080,J487,1,10,0,0.75,1,0,1
C2080,J111,1,10,3,0.75,0,9,0
C2080,J225,1,10,0,0.75,1,1,1
C2080,J110,1,10,3,0.5,1,4,0
C2080,J15,1,10,2,0.8,1,8,1
C2080,J194,1,10,0,0.75,1,0,1
C2080,J376,1,10,3,0.6666666666666666,1,3,1
C2080,J296,1,10,1,0.6666666666666666,0,3,0
C2080,J207,1,10,1,0.75,0,5,0
C2080,J94,1,10,3,0.6666666666666666,1,7,1
C2080,J390,1,10,1,0.75,0,4,0
C2080,J251,1,10,3,0.6666666666666666,1,10,1
C2080,J128,1,10,3,0.8,1,7,1
C2080,J377,1,10,1,0.75,1,6,1
C2080,J292,1,10,0,0.4,0,2,0
C2080,J356,1,10,2,0.6666666666666666,1,5,1
C2080,J473,1,10,2,0.75,1,1,1
C2080,J19,1,10,0,1.0,1,9,1
C2080,J68,1,10,1,0.6,0,2,0
C2080,J411,1,10,3,0.6666666666666666,1,6,1
C2080,J235,1,10,1,0.75,0,6,0
C2080,J328,1,10,3,1.0,0,7,0
C2080,J211,1,10,3,0.8,1,1,1
C2080,J389,1,10,1,0.6,1,3,1
C2080,J396,1,10,3,0.8,0,10,0
C2080,J392,1,10,0,0.8,1,1,1
C2080,J215,1,10,0,1.0,1,9,1
C2080,J461,1,10,2,0.6,1,6,1
C2080,J49,1,10,3,0.3333333333333333,1,1,0
C2080,J195,1,10,1,0.75,1,9,1
C2080,J206,1,10,0,0.6666666666666666,1,3,1
C2080,J97,1,10,3,0.8,1,2,1
C2080,J292,1,10,2,0.75,1,4,1
C2080,J104,1,10,3,0.5,0,1,0
C2080,J307,1,10,0,0.75,0,7,0
C2080,J28,1,10,2,0.75,1,7,1
C2080,J337,1,10,2,0.5,0,2,0
C2080,J412,1,10,0,0.6666666666666666,0,9,0
C2080,J349,1,10,2,0.5,0,3,0
C2080,J332,1,10,2,0.5,1,3,0
C2080,J9,1,10,2,0.8,0,5,0
C2080,J252,1,10,2,0.5,1,2,0
C2080,J302,1,10,1,0.5,1,3,0
C2080,J147,1,10,2,0.6,0,3,0
C2080,J353,1,10,3,0.6666666666666666,1,8,1
C2080,J74,1,10,0,0.6,1,1,1
C2080,J257,1,10,3,0.4,0,3,0
C2080,J479,1,10,2,0.5,1,4,0
C2080,J71,1,10,0,0.5,1,4,0
C2080,J115,1,10,3,0.6666666666666666,1,10,1
C2080,J77,1,10,3,0.6,0,8,0
C2080,J253,1,10,0,0.3333333333333333,0,9,0
C2080,J486,1,10,0,0.6,1,9,1
C2080,J462,1,10,1,0.5,1,5,0
C2080,J314,1,10,3,0.5,0,8,0
C3011,J255,2,9,0,0.6,1,4,1
C3011,J432,2,9,1,1.0,1,3,1
C3011,J311,2,9,3,0.5,1,7,0
C3011,J27,2,9,2,0.4,1,4,0
C3011,J198,2,9,3,0.3333333333333333,1,-1,0
C3011,J289,2,9,3,0.5,1,8,0
C3011,J105,2,9,0,0.3333333333333333,1,6,0
C3011,J98,2,9,0,0.3333333333333333,1,6,0
C3011,J43,2,9,2,1.0,1,-1,0
C3011,J257,2,9,1,0.4,1,5,0
C3011,J460,2,9,0,0.2,1,3,0
C3011,J400,2,9,1,0.4,1,0,0
C3011,J252,2,9,1,0.6666666666666666,1,6,1
C3011,J462,2,9,2,0.5,1,6,0
C3011,J364,2,9,2,0.25,1,9,0
C3011,J358,2,9,1,0.5,1,7,0
C3011,J19,2,9,2,0.6,1,7,1
C3011,J129,2,9,2,0.6666666666666666,1,9,1
C3011,J342,2,9,1,0.5,1,5,0
C3011,J260,2,9,2,0.3333333333333333,1,8,0
C3011,J117,2,9,2,0.6,1,6,1
C3011,J162,2,9,1,0.6,1,4,1
C3011,J66,2,9,0,0.6666666666666666,1,5,1
C3011,J359,2,9,1,0.5,1,4,0
C3011,J47,2,9,1,0.25,1,1,0
C3011,J77,2,9,3,0.2,1,4,0
C3011,J431,2,9,3,0.3333333333333333,1,5,0
C3011,J122,2,9,3,0.8,1,-1,0
C3011,J456,2,9,2,0.4,1,0,0
C3011,J97,2,9,1,0.6666666666666666,1,4,1
C3011,J237,2,9,3,0.6,1,2,1
C3011,J182,2,9,0,0.2,1,6,0
C3011,J451,2,9,2,0.4,1,2,0
C3011,J146,2,9,3,0.75,1,6,1
C3011,J38,2,9,2,0.4,1,7,0
C3011,J371,2,9,3,0.4,1,3,0
C3011,J15,2,9,1,0.6666666666666666,1,6,1
C3011,J443,2,9,2,0.6,1,-1,0
C3011,J364,2,9,2,0.6,1,7,1
C3011,J290,2,9,2,0.0,1,9,0
C3011,J225,2,9,2,0.6666666666666666,1,1,1
C3011,J147,2,9,2,0.3333333333333333,1,-1,0
C3011,J351,2,9,1,0.5,1,6,0
C3011,J442,2,9,0,0.6,1,5,1
C3011,J389,2,9,3,0.75,1,0,1
C3011,J487,2,9,0,0.5,1,-1,0
C3011,J111,2,9,3,0.25,1,8,0
C3011,J225,2,9,0,0.5,1,0,0
C3011,J110,2,9,3,0.5,1,3,0
C3011,J15,2,9,2,0.4,1,7,0
C3011,J194,2,9,0,0.25,1,-1,0
C3011,J376,2,9,3,0.6666666666666666,1,2,1
C3011,J296,2,9,1,0.3333333333333333,1,2,0
C3011,J207,2,9,1,0.5,1,4,0
C3011,J94,2,9,3,0.3333333333333333,1,6,0
C3011,J390,2,9,1,0.5,1,3,0
C3011,J251,2,9,3,0.0,1,9,0
C3011,J128,2,9,3,0.2,1,6,0
C3011,J377,2,9,1,0.25,1,5,0
C3011,J292,2,9,0,0.4,1,1,0
C3011,J356,2,9,2,0.3333333333333333,1,4,0
C3011,J473,2,9,2,0.25,1,0,0
C3011,J19,2,9,0,0.6666666666666666,1,8,1
C3011,J68,2,9,1,0.4,1,1,0
C3011,J411,2,9,3,0.6666666666666666,1,5,1
C3011,J235,2,9,1,0.25,1,5,0
C3011,J328,2,9,3,0.6666666666666666,1,6,1
C3011,J211,2,9,3,0.8,1,0,1
C3011,J389,2,9,1,0.6,1,2,1
C3011,J396,2,9,3,0.2,1,9,0
C3011,J392,2,9,0,0.6,1,0,1
C3011,J215,2,9,0,0.3333333333333333,1,8,0
C3011,J461,2,9,2,0.6,1,5,1
C3011,J49,2,9,3,0.3333333333333333,1,0,0
C3011,J195,2,9,1,0.5,1,8,0
C3011,J206,2,9,0,0.3333333333333333,1,2,0
C3011,J97,2,9,3,0.2,1,1,0
C3011,J292,2,9,2,0.75,1,3,1
C3011,J104,2,9,3,0.5,1,0,0
C3011,J307,2,9,0,0.75,1,6,1
C3011,J28,2,9,2,0.75,1,6,1
C3011,J337,2,9,2,0.25,1,1,0
C3011,J412,2,9,0,0.3333333333333333,1,8,0
C3011,J349,2,9,2,0.75,1,2,1
C3011,J332,2,9,2,0.0,1,2,0
C3011,J9,2,9,2,0.4,1,4,0
C3011,J252,2,9,2,0.25,1,1,0
C3011,J302,2,9,1,0.25,1,2,0
C3011,J147,2,9,2,0.2,1,2,0
C3011,J353,2,9,3,0.3333333333333333,1,7,0
C3011,J74,2,9,0,0.4,1,0,0
C3011,J257,2,9,3,0.4,1,2,0
C3011,J479,2,9,2,0.5,1,3,0
C3011,J71,2,9,0,0.5,1,3,0
C3011,J115,2,9,3,0.3333333333333333,1,9,0
C3011,J77,2,9,3,0.6,1,7,1
C3011,J253,2,9,0,0.3333333333333333,1,8,0
C3011,J486,2,9,0,0.2,1,8,0
C3011,J462,2,9,1,0.25,1,4,0
C3011,J314,2,9,3,0.5,1,7,0
C1875,J255,0,7,0,0.6,0,2,0
C1875,J432,0,7,1,0.3333333333333333,0,1,0
C1875,J311,0,7,3,0.5,0,5,0
C1875,J27,0,7,2,0.6,0,2,0
C1875,J198,0,7,3,0.6666666666666666,1,-3,0
C1875,J289,0,7,3,0.5,1,6,0
C1875,J105,0,7,0,0.6666666666666666,0,4,0
C1875,J98,0,7,0,0.6666666666666666,0,4,0
C1875,J43,0,7,2,0.5,0,-3,0
C1875,J257,0,7,1,0.8,0,3,0
C1875,J460,0,7,0,0.6,0,1,0
C1875,J400,0,7,1,0.4,0,-2,0
C1875,J252,0,7,1,0.3333333333333333,1,4,0
C1875,J462,0,7,2,0.5,1,4,0
C1875,J364,0,7,2,0.5,1,7,0
C1875,J358,0,7,1,0.5,0,5,0
C1875,J19,0,7,2,0.4,0,5,0
C1875,J129,0,7,2,0.3333333333333333,0,7,0
C1875,J342,0,7,1,0.5,1,3,0
C1875,J260,0,7,2,0.6666666666666666,0,6,0
C1875,J117,0,7,2,0.4,0,4,0
C1875,J162,0,7,1,0.6,0,2,0
C1875,J66,0,7,0,0.6666666666666666,1,3,1
C1875,J359,0,7,1,1.0,0,2,0
C1875,J47,0,7,1,0.25,0,-1,0
C1875,J77,0,7,3,0.6,0,2,0
C1875,J431,0,7,3,0.3333333333333333,0,3,0
C1875,J122,0,7,3,0.4,0,-3,0
C1875,J456,0,7,2,0.4,1,-2,0
C1875,J97,0,7,1,1.0,1,2,1
C1875,J237,0,7,3,0.4,1,0,0
C1875,J182,0,7,0,0.6,1,4,1
C1875,J451,0,7,2,0.4,0,0,0
C1875,J146,0,7,3,0.75,0,4,0
C1875,J38,0,7,2,0.2,1,5,0
C1875,J371,0,7,3,0.6,0,1,0
C1875,J15,0,7,1,0.3333333333333333,0,4,0
C1875,J443,0,7,2,0.6,0,-3,0
C1875,J364,0,7,2,0.8,0,5,0
C1875,J290,0,7,2,0.6666666666666666,1,7,1
C1875,J225,0,7,2,0.3333333333333333,1,-1,0
C1875,J147,0,7,2,0.6666666666666666,0,-3,0
C1875,J351,0,7,1,0.75,0,4,0
C1875,J442,0,7,0,0.6,0,3,0
